IPMI:10.18.10.10Time:2018-07-12-16-40-18
PCH_Temp         | no reading        | ns
NIC_Temp         | no reading        | ns
Inlet_Temp       | no reading        | ns
Outlet1_Temp     | no reading        | ns
Outlet2_Temp     | no reading        | ns
+VCORE0          | no reading        | ns
+VCORE1          | no reading        | ns
+VDDQ_AB_CPU0    | no reading        | ns
+VDDQ_CD_CPU0    | no reading        | ns
+VDDQ_EF_CPU1    | no reading        | ns
+VDDQ_GH_CPU1    | no reading        | ns
+1.05V_PCH       | no reading        | ns
+1.5V_PCH        | no reading        | ns
+12V             | no reading        | ns
+5V              | no reading        | ns
+3.3V            | no reading        | ns
+VBAT            | no reading        | ns
PowerConsumption | no reading        | ns
CPU0_Temp        | no reading        | ns
CPU1_Temp        | no reading        | ns
CPU0_DIMMA1_Temp | no reading        | ns
CPU0_DIMMA2_Temp | no reading        | ns
CPU0_DIMMA3_Temp | no reading        | ns
CPU0_DIMMB1_Temp | no reading        | ns
CPU0_DIMMB2_Temp | no reading        | ns
CPU0_DIMMB3_Temp | no reading        | ns
CPU0_DIMMC1_Temp | no reading        | ns
CPU0_DIMMC2_Temp | no reading        | ns
CPU0_DIMMC3_Temp | no reading        | ns
CPU0_DIMMD1_Temp | no reading        | ns
CPU0_DIMMD2_Temp | no reading        | ns
CPU0_DIMMD3_Temp | no reading        | ns
CPU1_DIMMA1_Temp | no reading        | ns
CPU1_DIMMA2_Temp | no reading        | ns
CPU1_DIMMA3_Temp | no reading        | ns
CPU1_DIMMB1_Temp | no reading        | ns
CPU1_DIMMB2_Temp | no reading        | ns
CPU1_DIMMB3_Temp | no reading        | ns
CPU1_DIMMC1_Temp | no reading        | ns
CPU1_DIMMC2_Temp | no reading        | ns
CPU1_DIMMC3_Temp | no reading        | ns
CPU1_DIMMD1_Temp | no reading        | ns
CPU1_DIMMD2_Temp | no reading        | ns
CPU1_DIMMD3_Temp | no reading        | ns
AggreThermal     | Not Readable      | ns
Watchdog2        | Not Readable      | ns
