IPMI:10.18.1.1 Time:2018-10-19-14-17-35
PCH_Temp         | 23 degrees C      | ok
NIC_Temp         | 30 degrees C      | ok
Inlet_Temp       | 25 degrees C      | ok
Outlet1_Temp     | 27 degrees C      | ok
Outlet2_Temp     | 22 degrees C      | ok
+VCORE0          | 1.79 Volts        | ok
+VCORE1          | 1.78 Volts        | ok
+VDDQ_AB_CPU0    | 1.21 Volts        | ok
+VDDQ_CD_CPU0    | 1.21 Volts        | ok
+VDDQ_EF_CPU1    | 1.20 Volts        | ok
+VDDQ_GH_CPU1    | 1.21 Volts        | ok
+1.05V_PCH       | 1.02 Volts        | ok
+1.5V_PCH        | 1.46 Volts        | ok
+12V             | 11.84 Volts       | ok
+5V              | 4.89 Volts        | ok
+3.3V            | 3.31 Volts        | ok
+VBAT            | 3.30 Volts        | ok
PowerConsumption | no reading        | ns
CPU0_Temp        | disabled          | ns
CPU1_Temp        | disabled          | ns
CPU0_DIMMA1_Temp | no reading        | ns
CPU0_DIMMA2_Temp | no reading        | ns
CPU0_DIMMA3_Temp | no reading        | ns
CPU0_DIMMB1_Temp | no reading        | ns
CPU0_DIMMB2_Temp | no reading        | ns
CPU0_DIMMB3_Temp | no reading        | ns
CPU0_DIMMC1_Temp | no reading        | ns
CPU0_DIMMC2_Temp | no reading        | ns
CPU0_DIMMC3_Temp | no reading        | ns
CPU0_DIMMD1_Temp | no reading        | ns
CPU0_DIMMD2_Temp | no reading        | ns
CPU0_DIMMD3_Temp | no reading        | ns
CPU1_DIMMA1_Temp | no reading        | ns
CPU1_DIMMA2_Temp | no reading        | ns
CPU1_DIMMA3_Temp | no reading        | ns
CPU1_DIMMB1_Temp | no reading        | ns
CPU1_DIMMB2_Temp | no reading        | ns
CPU1_DIMMB3_Temp | no reading        | ns
CPU1_DIMMC1_Temp | no reading        | ns
CPU1_DIMMC2_Temp | no reading        | ns
CPU1_DIMMC3_Temp | no reading        | ns
CPU1_DIMMD1_Temp | no reading        | ns
CPU1_DIMMD2_Temp | no reading        | ns
CPU1_DIMMD3_Temp | no reading        | ns
AggreThermal     | 0x00              | ok
Watchdog2        | 0x00              | ok
